j,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
10,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.001,0.003,0.008,0.018,0.034,0.061,0.100,0.151,0.212,0.278,0.341,0.398,0.442,0.473,0.490,0.494,0.487,0.473,0.454,0.433,0.412,0.392,0.374,0.358,0.345,0.333,0.322,0.312,0.303,0.295,0.286,0.278,0.271,0.263,0.255,0.248,0.241,0.234,0.228,0.222,0.215,0.210,0.204,0.199,0.194,0.189,0.184,0.179,0.175,0.171,0.166,0.162,0.159,0.155,0.151,0.148,0.144,0.141,0.138,0.135,0.132
11,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.001,0.002,0.005,0.010,0.020,0.037,0.063,0.100,0.147,0.204,0.266,0.327,0.382,0.428,0.460,0.480,0.488,0.485,0.475,0.459,0.440,0.420,0.401,0.384,0.369,0.355,0.343,0.333,0.324,0.315,0.307,0.299,0.292,0.285,0.278,0.271,0.264,0.257,0.251,0.244,0.238,0.232,0.227,0.221,0.216,0.211,0.206,0.201,0.197,0.192,0.188,0.184,0.180,0.176,0.172,0.168,0.165,0.161,0.158,0.154
12,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.001,0.003,0.006,0.012,0.022,0.038,0.063,0.098,0.142,0.195,0.254,0.312,0.367,0.413,0.447,0.470,0.481,0.482,0.474,0.461,0.444,0.426,0.408,0.391,0.376,0.363,0.352,0.341,0.332,0.324,0.316,0.309,0.302,0.295,0.289,0.282,0.276,0.270,0.264,0.258,0.252,0.246,0.241,0.236,0.230,0.225,0.221,0.216,0.212,0.207,0.203,0.199,0.195,0.191,0.187,0.183,0.180,0.176
13,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.007,0.013,0.023,0.039,0.063,0.095,0.137,0.186,0.241,0.298,0.351,0.397,0.434,0.459,0.473,0.477,0.472,0.462,0.447,0.430,0.414,0.397,0.383,0.370,0.358,0.348,0.339,0.331,0.323,0.316,0.310,0.303,0.297,0.291,0.285,0.279,0.274,0.268,0.263,0.257,0.252,0.247,0.242,0.237,0.233,0.228,0.224,0.220,0.216,0.212,0.208,0.204,0.200,0.196
14,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.007,0.014,0.024,0.039,0.061,0.091,0.130,0.177,0.229,0.283,0.336,0.382,0.420,0.447,0.464,0.471,0.469,0.461,0.449,0.434,0.418,0.402,0.388,0.375,0.363,0.353,0.344,0.336,0.329,0.322,0.315,0.309,0.303,0.298,0.292,0.287,0.281,0.276,0.271,0.266,0.261,0.256,0.252,0.247,0.243,0.238,0.234,0.230,0.226,0.222,0.219,0.215
15,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.008,0.014,0.024,0.038,0.059,0.087,0.124,0.168,0.217,0.269,0.320,0.367,0.405,0.435,0.454,0.464,0.465,0.460,0.449,0.436,0.421,0.406,0.392,0.379,0.367,0.357,0.348,0.340,0.333,0.326,0.320,0.314,0.308,0.303,0.297,0.292,0.287,0.282,0.277,0.273,0.268,0.263,0.259,0.255,0.250,0.246,0.242,0.238,0.235,0.231
16,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.005,0.008,0.014,0.024,0.037,0.057,0.083,0.117,0.158,0.205,0.255,0.305,0.351,0.391,0.422,0.444,0.456,0.460,0.457,0.449,0.437,0.423,0.409,0.395,0.382,0.371,0.360,0.351,0.343,0.336,0.329,0.323,0.317,0.312,0.307,0.302,0.297,0.292,0.287,0.282,0.278,0.273,0.269,0.265,0.261,0.257,0.253,0.249,0.245
17,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.005,0.009,0.014,0.023,0.036,0.054,0.079,0.111,0.149,0.193,0.241,0.290,0.336,0.376,0.409,0.433,0.448,0.455,0.454,0.448,0.438,0.425,0.412,0.398,0.385,0.374,0.363,0.354,0.346,0.339,0.332,0.326,0.320,0.315,0.310,0.305,0.300,0.295,0.291,0.286,0.282,0.277,0.273,0.269,0.265,0.261,0.258
18,0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.009,0.014,0.023,0.035,0.052,0.075,0.104,0.140,0.182,0.228,0.275,0.321,0.362,0.396,0.422,0.439,0.448,0.450,0.446,0.438,0.426,0.414,0.401,0.388,0.377,0.366,0.357,0.348,0.341,0.334,0.328,0.322,0.317,0.312,0.307,0.302,0.298,0.293,0.289,0.285,0.281,0.277,0.273,0.269
19,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.009,0.014,0.022,0.033,0.049,0.070,0.098,0.131,0.171,0.215,0.260,0.305,0.347,0.382,0.410,0.430,0.441,0.446,0.444,0.437,0.427,0.415,0.403,0.391,0.379,0.369,0.359,0.351,0.343,0.336,0.330,0.324,0.319,0.314,0.309,0.305,0.300,0.296,0.292,0.287,0.283,0.279
20,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.009,0.014,0.021,0.031,0.046,0.066,0.091,0.123,0.160,0.202,0.246,0.290,0.332,0.368,0.398,0.420,0.434,0.440,0.440,0.436,0.427,0.417,0.405,0.393,0.382,0.371,0.361,0.353,0.345,0.338,0.332,0.326,0.321,0.316,0.311,0.306,0.302,0.298,0.294,0.289
21,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.008,0.013,0.020,0.030,0.043,0.062,0.085,0.115,0.150,0.190,0.232,0.276,0.317,0.354,0.385,0.409,0.425,0.434,0.437,0.434,0.427,0.417,0.406,0.395,0.384,0.373,0.364,0.355,0.347,0.340,0.333,0.328,0.322,0.317,0.312,0.308,0.304,0.299
22,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.008,0.013,0.019,0.028,0.041,0.058,0.080,0.107,0.140,0.178,0.219,0.261,0.302,0.340,0.372,0.398,0.417,0.428,0.432,0.431,0.426,0.418,0.408,0.397,0.386,0.375,0.366,0.357,0.349,0.342,0.335,0.329,0.324,0.319,0.314,0.309
23,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.008,0.012,0.018,0.026,0.038,0.054,0.074,0.100,0.130,0.166,0.205,0.246,0.287,0.325,0.359,0.386,0.407,0.420,0.427,0.428,0.425,0.418,0.409,0.398,0.388,0.377,0.368,0.359,0.351,0.343,0.337,0.331,0.325,0.320
24,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.007,0.011,0.017,0.025,0.035,0.050,0.069,0.092,0.121,0.155,0.193,0.232,0.273,0.311,0.345,0.374,0.397,0.413,0.422,0.425,0.423,0.417,0.409,0.400,0.390,0.379,0.370,0.361,0.352,0.345,0.338,0.332
