j,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
10,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.001,-0.001,0.010,0.048,0.141,0.294,0.477,0.642,0.760,0.823,0.836,0.814,0.770,0.719,0.672,0.632,0.599,0.572,0.548,0.525,0.503,0.480,0.459,0.438,0.418,0.399,0.382,0.365,0.350,0.335,0.321,0.309,0.296,0.285,0.274,0.264,0.254,0.245,0.237,0.229,0.221,0.214,0.207,0.200,0.194,0.188,0.182,0.177,0.172,0.167,0.163,0.158,0.154,0.150,0.146,0.143,0.139,0.136,0.133,0.131,0.128,0.125,0.123
11,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.001,-0.000,0.005,0.027,0.086,0.200,0.362,0.534,0.680,0.777,0.824,0.828,0.802,0.759,0.713,0.671,0.636,0.608,0.584,0.563,0.542,0.522,0.502,0.483,0.463,0.445,0.427,0.410,0.394,0.379,0.364,0.351,0.338,0.326,0.314,0.303,0.292,0.282,0.273,0.264,0.256,0.247,0.240,0.232,0.225,0.219,0.212,0.206,0.201,0.195,0.190,0.185,0.180,0.176,0.171,0.167,0.164,0.160,0.157,0.153,0.150,0.147
12,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.003,0.015,0.051,0.128,0.256,0.419,0.580,0.707,0.787,0.821,0.818,0.789,0.749,0.706,0.668,0.637,0.613,0.592,0.573,0.555,0.537,0.519,0.501,0.484,0.467,0.450,0.434,0.419,0.404,0.390,0.377,0.364,0.352,0.341,0.329,0.319,0.309,0.299,0.290,0.281,0.273,0.265,0.257,0.250,0.243,0.236,0.230,0.224,0.218,0.212,0.207,0.202,0.197,0.193,0.189,0.184,0.181,0.177,0.173
13,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.002,0.008,0.029,0.078,0.170,0.308,0.468,0.615,0.726,0.792,0.816,0.807,0.777,0.738,0.699,0.665,0.638,0.616,0.597,0.581,0.565,0.549,0.533,0.516,0.500,0.484,0.469,0.454,0.440,0.426,0.413,0.400,0.388,0.376,0.365,0.354,0.343,0.333,0.323,0.314,0.305,0.297,0.289,0.281,0.273,0.266,0.259,0.253,0.246,0.240,0.235,0.229,0.224,0.219,0.214,0.209,0.205,0.201
14,0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.001,0.005,0.016,0.045,0.107,0.212,0.355,0.508,0.642,0.739,0.793,0.809,0.796,0.765,0.728,0.692,0.661,0.637,0.617,0.601,0.586,0.571,0.557,0.542,0.527,0.513,0.498,0.484,0.471,0.457,0.444,0.432,0.420,0.408,0.397,0.386,0.375,0.365,0.355,0.346,0.337,0.328,0.319,0.311,0.303,0.295,0.288,0.281,0.274,0.268,0.262,0.256,0.250,0.245,0.240,0.235,0.230
15,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.002,0.009,0.026,0.064,0.137,0.252,0.395,0.541,0.663,0.747,0.792,0.801,0.785,0.754,0.719,0.685,0.657,0.635,0.617,0.602,0.589,0.576,0.563,0.549,0.536,0.522,0.509,0.496,0.484,0.471,0.460,0.448,0.437,0.426,0.415,0.405,0.394,0.385,0.375,0.366,0.357,0.348,0.340,0.332,0.324,0.316,0.309,0.302,0.295,0.288,0.282,0.276,0.270,0.265,0.260
16,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.001,0.005,0.015,0.037,0.085,0.168,0.289,0.431,0.568,0.679,0.752,0.788,0.792,0.774,0.743,0.709,0.678,0.652,0.632,0.616,0.603,0.590,0.578,0.566,0.554,0.542,0.530,0.517,0.506,0.494,0.483,0.472,0.461,0.450,0.440,0.430,0.420,0.411,0.401,0.392,0.383,0.375,0.366,0.358,0.350,0.343,0.335,0.328,0.321,0.314,0.308,0.301,0.296,0.290
17,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.001,0.003,0.008,0.021,0.050,0.106,0.198,0.322,0.461,0.590,0.691,0.755,0.784,0.783,0.763,0.733,0.701,0.672,0.648,0.629,0.615,0.602,0.591,0.580,0.569,0.557,0.546,0.535,0.524,0.513,0.502,0.491,0.481,0.471,0.462,0.452,0.443,0.433,0.424,0.416,0.407,0.399,0.390,0.382,0.375,0.367,0.359,0.352,0.345,0.338,0.332,0.326,0.319
18,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.002,0.005,0.012,0.029,0.064,0.128,0.226,0.352,0.487,0.608,0.699,0.755,0.778,0.774,0.753,0.724,0.693,0.665,0.643,0.626,0.612,0.601,0.590,0.580,0.570,0.559,0.549,0.538,0.528,0.518,0.508,0.498,0.489,0.479,0.470,0.461,0.453,0.444,0.436,0.428,0.420,0.412,0.404,0.396,0.389,0.382,0.374,0.368,0.361,0.354,0.348
19,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.001,0.003,0.007,0.017,0.038,0.079,0.149,0.253,0.379,0.510,0.622,0.705,0.754,0.772,0.765,0.743,0.714,0.685,0.659,0.639,0.623,0.610,0.599,0.589,0.580,0.570,0.560,0.551,0.541,0.531,0.521,0.512,0.503,0.494,0.486,0.477,0.469,0.461,0.453,0.445,0.437,0.430,0.422,0.415,0.408,0.401,0.394,0.387,0.381,0.374
20,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.001,0.004,0.009,0.022,0.047,0.094,0.170,0.277,0.403,0.528,0.634,0.709,0.752,0.765,0.757,0.734,0.706,0.678,0.654,0.634,0.619,0.607,0.597,0.588,0.579,0.570,0.561,0.551,0.542,0.533,0.524,0.515,0.507,0.498,0.490,0.483,0.475,0.467,0.460,0.453,0.445,0.438,0.431,0.425,0.418,0.411,0.405,0.399
21,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.001,0.002,0.005,0.013,0.028,0.057,0.109,0.191,0.300,0.424,0.544,0.643,0.711,0.749,0.759,0.748,0.725,0.698,0.671,0.648,0.630,0.616,0.605,0.595,0.586,0.578,0.569,0.560,0.552,0.543,0.534,0.526,0.517,0.509,0.501,0.494,0.486,0.479,0.472,0.465,0.458,0.452,0.445,0.439,0.432,0.426,0.420
22,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.007,0.016,0.034,0.067,0.124,0.210,0.321,0.443,0.557,0.649,0.712,0.745,0.752,0.740,0.717,0.690,0.665,0.643,0.626,0.613,0.602,0.593,0.584,0.576,0.568,0.560,0.551,0.543,0.535,0.527,0.519,0.511,0.504,0.496,0.489,0.483,0.476,0.469,0.463,0.457,0.450,0.444,0.438
23,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.009,0.020,0.040,0.078,0.139,0.228,0.339,0.459,0.568,0.654,0.712,0.741,0.745,0.732,0.709,0.683,0.659,0.638,0.622,0.609,0.599,0.590,0.582,0.575,0.567,0.559,0.551,0.543,0.535,0.527,0.519,0.512,0.505,0.498,0.492,0.485,0.479,0.472,0.466,0.461,0.455
24,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.005,0.011,0.024,0.047,0.088,0.153,0.245,0.356,0.472,0.577,0.658,0.711,0.736,0.738,0.724,0.702,0.676,0.653,0.633,0.618,0.606,0.596,0.588,0.580,0.573,0.565,0.558,0.550,0.542,0.534,0.527,0.520,0.513,0.506,0.499,0.493,0.487,0.481,0.475,0.469
25,0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.007,0.014,0.028,0.054,0.098,0.167,0.260,0.371,0.484,0.584,0.660,0.709,0.731,0.732,0.717,0.695,0.670,0.648,0.629,0.614,0.603,0.594,0.586,0.578,0.571,0.564,0.556,0.549,0.541,0.534,0.527,0.520,0.513,0.506,0.500,0.494,0.488,0.482
